source_ip,destination_ip,protocol,packet_count,byte_count,failed_logins,port_scan_count,request_rate,label
192.168.1.10,10.0.0.5,TCP,120,54000,0,1,20,Normal
192.168.1.55,10.0.0.8,TCP,950,450000,12,18,180,Brute Force
45.77.23.90,10.0.0.9,UDP,3000,990000,0,3,650,DDoS
172.16.0.14,10.0.0.11,TCP,410,150000,1,25,95,Port Scan
192.168.1.22,10.0.0.15,HTTP,780,250000,3,4,220,Web Attack
103.44.21.9,10.0.0.20,TCP,2800,880000,1,6,610,DDoS
192.168.1.77,10.0.0.22,TCP,600,210000,15,9,140,Brute Force
10.10.10.5,10.0.0.30,UDP,300,80000,0,20,75,Port Scan
185.99.12.3,10.0.0.40,HTTP,900,340000,2,5,250,Web Attack
192.168.1.18,10.0.0.12,TCP,90,30000,0,0,12,Normal